run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,p_chosen
2,95,IEV,happy,28,0.82244,28,23.2579,1518,226.5126,228.0458,228.0959,228.9958,0.1,happy_11.png,0.00769576756943947
2,96,IEV,happy,27,0.83302,0,22.0932,1418,229.1125,230.5458,230.5958,231.4957,2.1,happy_23.png,0.00817657218644957
2,97,IEV,happy,27,0.82962,27,22.4738,1451,233.6124,235.0789,235.1289,236.0288,5.1,happy_4.png,0.00798100575677528
2,98,IEV,happy,30,0.82613,30,24.5104,1484,241.1453,242.6452,242.6952,243.5952,0.1,happy_3.png,0.00774125176691275
2,99,IEV,happy,33,0.83474,33,27.7419,1401,243.7119,245.1284,245.1785,246.0784,4.1,happy_1.png,0.00804802681426292
2,100,IEV,happy,27,0.82962,27,22.4738,1451,250.1949,251.6615,251.7115,252.6114,12.1,happy_13.png,0.00782163546337232
3,101,CEVR,scram,171,0.22266,0,38.1133,484,8.0103,8.5103,8.5604,9.4603,0.1,scram_18.png,0.00265957446808511
3,102,CEVR,scram,129,0.27754,0,35.8898,1634,9.5769,11.2268,11.2773,12.1768,7.1,scram_5.png,0.00265957446808511
3,103,CEVR,scram,111,0.32927,111,36.6707,2367,19.2932,21.6764,21.7264,22.6263,4.1,scram_1.png,0.00123959904320883
3,104,CEVR,scram,107,0.34088,0,36.3182,2501,26.7429,29.2594,29.3095,30.2093,0.1,scram_2.png,0.0303298987387848
3,105,CEVR,scram,109,0.347,0,37.694,2568,30.326,32.9092,32.9593,33.8592,0.1,scram_11.png,0.0202411504915134
3,106,CEVR,scram,101,0.35325,101,35.587,2634,33.9759,36.6257,36.6758,37.5757,2.1,scram_4.png,0.0256390737948514
3,107,CEVR,scram,101,0.35813,101,36.2837,2684,39.6923,42.3921,42.4422,43.3421,0.1,scram_9.png,0.0173543398156765
3,108,CEVR,scram,104,0.35655,0,37,2668,43.4588,46.142,46.192,47.0919,2.1,scram_25.png,0.0211519628632339
3,109,CEVR,scram,102,0.35489,102,36.2902,2651,49.2085,51.8751,51.9251,52.825,0.1,scram_22.png,0.0150819518003611
3,110,CEVR,scram,98,0.35813,0,35.2093,2684,52.9417,55.6415,55.6916,56.5915,0.1,scram_19.png,0.019073841682904
3,111,CEVR,scram,102,0.36832,0,37.7366,2784,56.7082,59.5081,59.5581,60.458,0.1,scram_23.png,0.0146362158172849
3,112,CEVR,scram,106,0.35171,0,37.3517,2618,60.5747,63.2079,63.2579,64.1578,1.1,scram_20.png,0.0188332742800153
3,113,CEVR,scram,101,0.36489,101,37,2751,65.2745,68.041,68.0911,68.991,4.1,scram_12.png,0.0161657365357685
3,114,CEVR,scram,105,0.35171,0,37,2618,73.1075,75.7407,75.7907,76.6906,1.1,scram_10.png,0.0154738475058152
3,115,CEVR,scram,112,0.32246,0,36.0326,2284,77.8073,80.1071,80.1572,81.0571,11.1,scram_13.png,0.0013860464671159
3,116,CEVR,scram,103,0.36143,0,37.3614,2717,92.1734,94.9065,94.9565,95.8565,0.1,scram_7.png,0.0143846245467872
