run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,value_softmax_p_chosen,uv_p_chosen
6,287,DEV,fear,77,0.61039,77,47.1989,1168,216.2094,217.3926,217.4427,218.3426,1.1,fear_22.png,0.000295066260186081,1.88160540386426e-06
6,288,DEV,fear,79,0.5937,0,46.7603,1251,219.4759,220.7425,220.7925,221.6925,0.1,fear_24.png,0.000150781553499938,1.11452125959962e-06
6,289,DEV,fear,82,0.37871,82,30.8872,2784,221.8258,224.6256,224.6757,225.5756,0.1,fear_12.png,8.60298059147021e-14,2.58474161329943e-15
6,290,DEV,fear,0,0,0,0,4016,225.7089,229.742,229.7921,230.692,2.1,fear_10.png,2.73127553525814e-23,5.20718972156138e-22
6,291,DEV,fear,66,0.79888,66,52.5146,368,232.8253,233.2085,233.2586,234.1585,2.1,fear_19.png,0.0238627256069579,0.0336397709528272
6,292,DEV,fear,73,0.71051,73,51.5619,718,236.2918,237.025,237.0751,237.975,3.1,fear_16.png,0.00610251422483806,0.000807816705095059
6,293,DEV,fear,74,0.6529,74,48.4414,968,241.1082,242.0915,242.1415,243.0414,4.1,fear_7.png,0.000589455373048105,3.8807850648838e-05
6,294,DEV,fear,74,0.48971,74,36.455,1851,247.1746,249.0411,249.0912,249.9911,3.1,fear_6.png,6.82750306039971e-10,5.79324999559509e-11
6,295,DEV,fear,76,0.61739,0,47.0093,1134,253.1243,254.2742,254.3242,255.2242,0.1,fear_25.png,0.000186175551248067,1.09359050311256e-05
6,296,DEV,fear,79,0.54685,0,43.1828,1501,255.3576,256.8741,256.9241,257.8241,2.1,fear_17.png,8.27227661820682e-07,4.9956492738948e-08
6,297,DEV,fear,0,0,0,0,4016,259.9573,263.9904,264.0405,264.9404,0.1,fear_18.png,6.28214547060073e-26,1.59642063576366e-23
6,298,DEV,fear,85,0.38663,0,32.9867,2701,265.0737,267.7902,267.8403,268.7402,6.1,fear_11.png,6.97417064585541e-16,3.56231038579959e-16
6,299,DEV,fear,72,0.52953,0,38.344,1601,274.89,276.5065,276.5565,277.4565,0.1,fear_5.png,4.93086798727642e-08,3.16968203921464e-09
6,300,DEV,fear,76,0.62785,0,47.6325,1084,277.6065,278.7064,278.7564,279.6564,12.1,fear_9.png,0.00016562684224937,1.15993279289694e-05
7,301,CEV,scram,61,0.60943,0,37,2034,8.0671,10.117,10.1671,11.067,1.1,scram_18.png,0.00265957446808511,1.0437922486586e-28
7,302,CEV,scram,56,0.69271,56,39.0781,1451,12.2003,13.6669,13.7169,14.6168,0.1,scram_2.png,0.00750004699054109,3.91681261727115e-22
7,303,CEV,scram,71,0.51886,71,37,2668,14.7835,17.4667,17.5167,18.4167,0.1,scram_14.png,0.0179026393340815,4.96550826065295e-16
7,304,CEV,scram,0,0,0,0,4000,18.5667,22.5831,22.6331,23.5331,0.1,scram_5.png,1.54091471504181e-20,4.60340284580425e-44
7,305,CEV,scram,104,0.36657,0,38.0997,3734,23.6997,27.4496,27.4996,28.3996,4.1,scram_7.png,4.37861724219142e-19,2.01131490361572e-42
7,306,CEV,scram,46,0.82371,46,37.8237,534,32.5327,33.0826,33.1327,34.0326,1.1,scram_8.png,0.0174451904661997,0.0131428994756507
7,307,CEV,scram,69,0.54986,69,38.0997,2451,35.1826,37.6491,37.6991,38.599,0.1,scram_4.png,0.000277515794969949,4.42242848129315e-07
